docket,plant_name,unit,reactor_type,nss_vendor,thermal_power_mwt,license_number,location,owner_operator,nrc_region
05000313,Arkansas Nuclear,1,PWR,,,DPR-51,"6 mi WNW of Russellville, AR","Entergy Nuclear Operations, Inc.",4
05000368,Arkansas Nuclear,2,PWR,,,NPF-6,"6 mi WNW of Russellville, AR","Entergy Nuclear Operations, Inc.",4
05000334,Beaver Valley,1,PWR,,,DPR-66,"17 mi W of McCandless, PA","Vistra Corporation",1
05000412,Beaver Valley,2,PWR,,,NPF-73,"17 mi W of McCandless, PA","Vistra Corporation",1
05000456,Braidwood,1,PWR,,,NPF-72,"20 mi SSW of Joliet, IL","Constellation Energy Generation, LLC",3
05000457,Braidwood,2,PWR,,,NPF-77,"20 mi SSW of Joliet, IL","Constellation Energy Generation, LLC",3
05000259,Browns Ferry,1,BWR,General Electric,,DPR-33,"32 mi W of Huntsville, AL","Tennessee Valley Authority",2
05000260,Browns Ferry,2,BWR,General Electric,,DPR-52,"32 mi W of Huntsville, AL","Tennessee Valley Authority",2
05000296,Browns Ferry,3,BWR,General Electric,,DPR-68,"32 mi W of Huntsville, AL","Tennessee Valley Authority",2
05000325,Brunswick,1,BWR,General Electric,,DPR-71,"30 mi S of Wilmington, NC","Duke Energy Progress, LLC",2
05000324,Brunswick,2,BWR,General Electric,,DPR-62,"30 mi S of Wilmington, NC","Duke Energy Progress, LLC",2
05000454,Byron,1,PWR,,,NPF-37,"17 mi SW of Rockford, IL","Constellation Energy Generation, LLC",3
05000455,Byron,2,PWR,,,NPF-66,"17 mi SW of Rockford, IL","Constellation Energy Generation, LLC",3
05000483,Callaway,1,PWR,,,NPF-30,"25 mi ENE of Jefferson City, MO","Ameren UE",4
05000317,Calvert Cliffs,1,PWR,,,DPR-53,"40 mi S of Annapolis, MD","Constellation Energy Generation, LLC",1
05000318,Calvert Cliffs,2,PWR,,,DPR-69,"40 mi S of Annapolis, MD","Constellation Energy Generation, LLC",1
05000413,Catawba,1,PWR,,,NPF-35,"18 mi S of Charlotte, NC","Duke Energy Carolinas, LLC",2
05000414,Catawba,2,PWR,,,NPF-52,"18 mi S of Charlotte, NC","Duke Energy Carolinas, LLC",2
05000461,Clinton,1,BWR,General Electric,,NPF-62,"23 mi SSE of Bloomington, IL","Constellation Energy Generation, LLC",3
