eiis_code,type,canonical_name,reactor_scope,acronyms,source_standard,notes
AA,system,Control Rod Drive System,BWR|PWR,CRD,IEEE 805-1984,"code also a COMPONENT function (Alarm, Analyzer)"
AB,system,Reactor Coolant System (PWR),PWR,RCS,IEEE 805-1984,"code also a COMPONENT function (Isolator, Analyzer)"
AC,system,Reactor Core System,,,IEEE 805-1984,"code also a COMPONENT function (Control, Analyzer)"
AD,system,Reactor Recirculation System (BWR),BWR,RR,IEEE 805-1984,
BA,system,Auxiliary/Emergency Feedwater System (PWR),PWR,AFW|EFW,IEEE 805-1984,
BB,system,Containment Combustible Gas Control System,,,IEEE 805-1984,
BC,system,Containment Ice Condenser System (PWR),PWR,,IEEE 805-1984,
BD,system,Containment Leakage Control System,,,IEEE 805-1984,code also a COMPONENT function (Board (Panel))
BE,system,Containment Spray System (PWR),PWR,CSS,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Burner)"
BF,system,Containment Vacuum Relief System,,,IEEE 805-1984,
BG,system,High Pressure Core Spray System (BWR),BWR,HPCS,IEEE 805-1984,
BH,system,Emergency/Standby Gas Treatment System,,SGTS,IEEE 805-1984,
BI,system,Essential Service Water System,,ESW,IEEE 805-1984,
BJ,system,High Pressure Coolant Injection System (BWR),BWR,HPCI,IEEE 805-1984,
BK,system,Containment Fan Cooling System (PWR),PWR,,IEEE 805-1984,
BL,system,Isolation Condenser System (BWR),BWR,IC,IEEE 805-1984,acronym 'IC' collides with EIIS system code IC (Fire Detection System)
BM,system,Low Pressure Core Spray System (BWR),BWR,LPCS,IEEE 805-1984,code also a COMPONENT function (Brine Maker)
BN,system,Reactor Core Isolation Cooling System (BWR),BWR,RCIC,IEEE 805-1984,
BO,system,Residual Heat Removal/Low Pressure Coolant Injection System (BWR),BWR,RHR|LPCI,IEEE 805-1984,single EIIS system covers both RHR and LPCI in BWRs
BP,system,Residual Heat Removal/Low Pressure Safety Injection System (PWR),PWR,RHR|LPSI,IEEE 805-1984,
BQ,system,High Pressure Safety Injection System (PWR),PWR,HPSI,IEEE 805-1984,
BR,system,Standby Liquid Control System (BWR),BWR,SLC,IEEE 805-1984,
BS,system,Ultimate Heat Sink System,,UHS,IEEE 805-1984,
BT,system,Suppression Pool Makeup System (BWR),BWR,SPMU,IEEE 805-1984,
CA,system,Boron Recycle System (PWR),PWR,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Conductivity)"
CB,system,Chemical and Volume Control/Makeup and Purification System (WR),,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Conductivity)"
CC,system,Closed/Component Cooling Water System,,CCW,IEEE 805-1984,"code also a COMPONENT function (Control, Conductivity)"
CD,system,Control Rod Drive Cooling System (PWR),PWR,CRD,IEEE 805-1984,
CE,system,Reactor Water Cleanup System (BWR),BWR,RWCU,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Conductivity)"
CF,system,Reactor Services System,,,IEEE 805-1984,
CG,system,Suppression Pool Purification System (BWR),BWR,,IEEE 805-1984,
DA,system,Fuel Pool Cooling and Purification System,,,IEEE 805-1984,
DB,system,Nuclear Fuel Services System,,,IEEE 805-1984,
DC,system,Diesel Fuel Oil System,,,IEEE 805-1984,
DE,system,"Fuel Oil Receiving, Storage, and Transfer System",,,IEEE 805-1984,
DF,system,Nuclear Fuel Transfer System,,,IEEE 805-1984,
DR,system,"Fuel Oil Receiving Storage, and Transfer System",,,IEEE 805-1984,code also a COMPONENT function (Door)
EA,system,Medium-Voltage Power System (601V through 35 kV),,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Voltage)"
EB,system,Medium-Voltage Power System—Class 1E,,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Voltage)"
EC,system,Low-Voltage Power System (600V and less),,,IEEE 805-1984,"code also a COMPONENT function (Control, Voltage)"
ED,system,Low-Voltage Power System—Class 1E,,,IEEE 805-1984,
EE,system,Instrument and Uninterruptible Power System,,,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Voltage)"
EF,system,Instrument and Uninterruptible Power System—Class 1E,,,IEEE 805-1984,
EI,system,DC Power System,,,IEEE 805-1984,"code also a COMPONENT function (Voltmeter (See: Indicator, Voltage))"
EJ,system,DC Power System—Class 1E,,,IEEE 805-1984,
EK,system,Emergency Onsite Power Supply System,,,IEEE 805-1984,
EL,system,Main Generator Output Power System,,,IEEE 805-1984,
FA,system,Cable Raceway System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Flow)"
FB,system,Cathodic Protection System,,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Flow)"
FC,system,Grounding and Lightning Protection System,,,IEEE 805-1984,"code also a COMPONENT function (Control, Flow)"
FD,system,Heat Tracing System,,,IEEE 805-1984,
FE,system,Heat Tracing System—Class 1E,,,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Flow)"
FF,system,Normal AC Lighting System,,,IEEE 805-1984,
FG,system,Standby AC Lighting System,,,IEEE 805-1984,"code also a COMPONENT function (Sight Glass, Flow)"
FH,system,Emergency DC Lighting System,,,IEEE 805-1984,
FI,system,Communications System,,,IEEE 805-1984,"code also a COMPONENT function (Indicator, Flow)"
FJ,system,Station Generation Telemetering System,,,IEEE 805-1984,
FK,system,Switchyard System,,,IEEE 805-1984,
IA,system,Security System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Current)"
IB,system,Annunciator System,,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Current)"
IC,system,Fire Detection System,,,IEEE 805-1984,"code also a COMPONENT function (Control, Current)"
ID,system,Computer System,,,IEEE 805-1984,
IG,system,Incore/Excore Monitoring System,,,IEEE 805-1984,
IH,system,Core Vibration Monitoring System,,,IEEE 805-1984,
II,system,Loose Parts Monitoring System,,,IEEE 805-1984,"code also a COMPONENT function (Indicator, Current)"
IJ,system,Leak Monitoring System,,,IEEE 805-1984,
IK,system,Containment Environmental Monitoring System,,,IEEE 805-1984,
IL,system,Radiation Monitoring System,,,IEEE 805-1984,"code also a COMPONENT function (Light, Indicator)"
IM,system,Temperature Monitoring System,,,IEEE 805-1984,"code also a COMPONENT function (Modifier, Current)"
IN,system,Seismic Monitoring System,,,IEEE 805-1984,
IO,system,Performance Monitoring System,,,IEEE 805-1984,
